Current, Voltage, Capacity, Cumulative_capacity, Seconds, Test_State, SOC
-4.67971,2.95024,-1.40852,-130.39,07/18/2024 11:27:43.686367840,1,-7.01152
-4.67598,2.95024,-1.40741,-131.797,07/18/2024 11:27:44.769919740,1,-7.07641
-4.67229,2.95024,-1.40626,-133.204,07/18/2024 11:27:45.853444160,1,-7.14124
-4.66845,2.95024,-1.40511,-134.609,07/18/2024 11:27:46.936976080,1,-7.20602
-4.66466,2.95025,-1.40399,-136.013,07/18/2024 11:27:48.020518180,1,-7.27075
-4.66092,2.95024,-1.40283,-137.415,07/18/2024 11:27:49.104037420,1,-7.33543
-4.64746,2.95024,-1.39877,-138.814,07/18/2024 11:27:50.187551340,1,-7.39992
-4.64395,2.95024,-1.39775,-140.212,07/18/2024 11:27:51.271089620,1,-7.46436
-4.64058,2.95024,-1.39671,-141.609,07/18/2024 11:27:52.354609840,1,-7.52876
-4.63603,2.95024,-1.39536,-143.004,07/18/2024 11:27:53.438141700,1,-7.59309
-4.63253,2.95024,-1.39459,-144.399,07/18/2024 11:27:54.521897400,1,-7.65738
-4.62877,2.95024,-1.39316,-145.792,07/18/2024 11:27:55.605421880,1,-7.72161
-4.62506,2.95024,-1.39205,-147.184,07/18/2024 11:27:56.688952520,1,-7.78579
-4.6218,2.95024,-1.3911,-148.575,07/18/2024 11:27:57.772502780,1,-7.84993
-4.61848,2.95024,-1.3901,-149.965,07/18/2024 11:27:58.856053920,1,-7.91402
-4.61519,2.95024,-1.38908,-151.354,07/18/2024 11:27:59.939580820,1,-7.97806
-4.61201,2.95023,-1.38818,-152.742,07/18/2024 11:28:01.023154800,1,-8.04206
-4.6088,2.95024,-1.38716,-154.129,07/18/2024 11:28:02.106683500,1,-8.10602
-4.60551,2.95024,-1.38616,-155.516,07/18/2024 11:28:03.190210240,1,-8.16992
-4.60214,2.95024,-1.3856,-156.901,07/18/2024 11:28:04.274092320,1,-8.23381
-4.59872,2.95024,-1.38415,-158.285,07/18/2024 11:28:05.357638000,1,-8.29762
-4.59524,2.95025,-1.38308,-159.668,07/18/2024 11:28:06.441166580,1,-8.36139
-4.59189,2.95024,-1.38208,-161.051,07/18/2024 11:28:07.524706860,1,-8.42511
-4.58852,2.95023,-1.38105,-162.432,07/18/2024 11:28:08.608233200,1,-8.48878
-4.58515,2.95024,-1.38005,-163.812,07/18/2024 11:28:09.691768500,1,-8.5524
-4.58189,2.95024,-1.37906,-165.191,07/18/2024 11:28:10.775301720,1,-8.61599
-4.57871,2.95024,-1.37811,-166.569,07/18/2024 11:28:11.858836100,1,-8.67952
-4.57539,2.95024,-1.37711,-167.946,07/18/2024 11:28:12.942369180,1,-8.74301
-4.57205,2.95024,-1.37611,-169.322,07/18/2024 11:28:14.025905800,1,-8.80646
-4.56895,2.95023,-1.37514,-170.697,07/18/2024 11:28:15.109412960,1,-8.86986
-4.56574,2.95024,-1.37419,-172.071,07/18/2024 11:28:16.192937840,1,-8.93321
-4.56293,2.95024,-1.37337,-173.445,07/18/2024 11:28:17.276484620,1,-8.99653
-4.55961,2.95024,-1.37239,-174.817,07/18/2024 11:28:18.360040260,1,-9.0598
-4.55642,2.95024,-1.37145,-176.189,07/18/2024 11:28:19.443617840,1,-9.12303
-4.55384,2.95023,-1.37062,-177.559,07/18/2024 11:28:20.527151140,1,-9.18622
-4.55089,2.95023,-1.36972,-178.929,07/18/2024 11:28:21.610674220,1,-9.24937
-4.54827,2.95024,-1.36899,-180.298,07/18/2024 11:28:22.694245300,1,-9.31249
-4.54554,2.95023,-1.36813,-181.666,07/18/2024 11:28:23.777780520,1,-9.37557
-4.54253,2.95024,-1.36722,-183.033,07/18/2024 11:28:24.861312420,1,-9.4386
-4.53928,2.95024,-1.36623,-184.4,07/18/2024 11:28:25.944841380,1,-9.50159
-4.53556,2.95024,-1.36512,-185.765,07/18/2024 11:28:27.028372040,1,-9.56453
-4.53224,2.95024,-1.36411,-187.129,07/18/2024 11:28:28.111895020,1,-9.62742
-4.52885,2.95024,-1.3631,-188.492,07/18/2024 11:28:29.195425300,1,-9.69026
-4.52534,2.95024,-1.36202,-189.854,07/18/2024 11:28:30.278940840,1,-9.75306
-4.5221,2.95024,-1.36106,-191.215,07/18/2024 11:28:31.362467140,1,-9.81581
-4.51955,2.95023,-1.36031,-192.575,07/18/2024 11:28:32.446006240,1,-9.87853
-4.51665,2.95023,-1.35941,-193.935,07/18/2024 11:28:33.529523400,1,-9.9412
-4.51291,2.95024,-1.35827,-195.293,07/18/2024 11:28:34.613034340,1,-10.0038
-4.51014,2.95023,-1.35747,-196.65,07/18/2024 11:28:35.696569400,1,-10.0664
-4.50739,2.95023,-1.35662,-198.007,07/18/2024 11:28:36.780089220,1,-10.129
-4.5047,2.95023,-1.35582,-199.363,07/18/2024 11:28:37.863613740,1,-10.1915
-4.50215,2.95023,-1.35505,-200.718,07/18/2024 11:28:38.947139420,1,-10.2539
-4.49891,2.95023,-1.3541,-202.072,07/18/2024 11:28:40.030678520,1,-10.3164
-4.49574,2.95024,-1.3532,-203.425,07/18/2024 11:28:41.114268680,1,-10.3788
-4.49255,2.95024,-1.35215,-204.777,07/18/2024 11:28:42.197785300,1,-10.4411
-4.48986,2.95023,-1.35136,-206.129,07/18/2024 11:28:43.281316660,1,-10.5034
-4.48701,2.95024,-1.35058,-207.479,07/18/2024 11:28:44.364909920,1,-10.5657
-4.48451,2.95024,-1.34973,-208.829,07/18/2024 11:28:45.448425580,1,-10.6279
-4.4816,2.95023,-1.34914,-210.178,07/18/2024 11:28:46.532173060,1,-10.6901
-4.47873,2.95023,-1.34799,-211.526,07/18/2024 11:28:47.615691040,1,-10.7522
-4.47537,2.95023,-1.347,-212.873,07/18/2024 11:28:48.699216940,1,-10.8143
-4.47111,2.95023,-1.87515,-214.748,07/18/2024 11:28:50.209027920,1,-10.9008
-4.46821,2.95023,-1.34487,-216.093,07/18/2024 11:28:51.292575700,1,-10.9628
-4.46562,2.95024,-1.34405,-217.437,07/18/2024 11:28:52.376097560,1,-11.0248
-4.46288,2.95023,-1.34321,-218.78,07/18/2024 11:28:53.459605660,1,-11.0867
-4.46034,2.95023,-1.34248,-220.123,07/18/2024 11:28:54.543141140,1,-11.1486
-4.45774,2.95023,-1.34168,-221.465,07/18/2024 11:28:55.626661200,1,-11.2104
-4.45491,2.95023,-1.34084,-222.805,07/18/2024 11:28:56.710188640,1,-11.2723
-4.45215,2.95023,-1.34001,-224.145,07/18/2024 11:28:57.793716380,1,-11.334
-4.4494,2.95023,-1.3392,-225.485,07/18/2024 11:28:58.877257080,1,-11.3958
-4.44671,2.95023,-1.33838,-226.823,07/18/2024 11:28:59.960788420,1,-11.4575
-4.44402,2.95023,-1.33756,-228.161,07/18/2024 11:29:01.044318980,1,-11.5192
-4.44106,2.95023,-1.33713,-229.498,07/18/2024 11:29:02.128217160,1,-11.5808
-4.43808,2.95024,-1.33576,-230.833,07/18/2024 11:29:03.211736980,1,-11.6424
-4.43504,2.95024,-1.33492,-232.168,07/18/2024 11:29:04.295316460,1,-11.7039
-4.43219,2.95023,-1.33399,-233.502,07/18/2024 11:29:05.378836300,1,-11.7654
-4.42948,2.95023,-1.33317,-234.836,07/18/2024 11:29:06.462350260,1,-11.8269
-4.42658,2.95023,-1.33233,-236.168,07/18/2024 11:29:07.545895200,1,-11.8883
-4.42365,2.95024,-1.33143,-237.499,07/18/2024 11:29:08.629426640,1,-11.9497
-4.42091,2.95024,-1.33061,-238.83,07/18/2024 11:29:09.712961680,1,-12.0111
-4.41819,2.95023,-1.32979,-240.16,07/18/2024 11:29:10.796493460,1,-12.0724
-4.41563,2.95024,-1.32904,-241.489,07/18/2024 11:29:11.880041440,1,-12.1336
-4.41298,2.95024,-1.32823,-242.817,07/18/2024 11:29:12.963581360,1,-12.1949
-4.41042,2.95023,-1.32746,-244.144,07/18/2024 11:29:14.047118620,1,-12.2561
-4.40776,2.95023,-1.32666,-245.471,07/18/2024 11:29:15.130655240,1,-12.3172
-4.40499,2.95024,-1.3258,-246.797,07/18/2024 11:29:16.214174260,1,-12.3784
-4.40224,2.95024,-1.32501,-248.122,07/18/2024 11:29:17.297720220,1,-12.4395
-4.39935,2.95024,-1.32411,-249.446,07/18/2024 11:29:18.381247340,1,-12.5005
-4.39636,2.95023,-1.32322,-250.769,07/18/2024 11:29:19.464778380,1,-12.5615
-4.3936,2.95024,-1.32237,-252.092,07/18/2024 11:29:20.548295260,1,-12.6225
-4.39067,2.95023,-1.3215,-253.413,07/18/2024 11:29:21.631819680,1,-12.6834
-4.3879,2.95024,-1.32068,-254.734,07/18/2024 11:29:22.715360700,1,-12.7443
-4.38505,2.95024,-1.31981,-256.054,07/18/2024 11:29:23.798887780,1,-12.8051
-4.38226,2.95024,-1.31896,-257.373,07/18/2024 11:29:24.882408580,1,-12.866
-4.37936,2.95024,-1.31815,-258.691,07/18/2024 11:29:25.965977560,1,-12.9267
-4.37653,2.95023,-1.31726,-260.008,07/18/2024 11:29:27.049517300,1,-12.9875
-4.37352,2.95023,-1.31635,-261.324,07/18/2024 11:29:28.133051440,1,-13.0481
-4.37095,2.95024,-1.31561,-262.64,07/18/2024 11:29:29.216612020,1,-13.1088
-4.36839,2.95024,-1.31481,-263.955,07/18/2024 11:29:30.300146100,1,-13.1694
-4.36555,2.95023,-1.31393,-265.269,07/18/2024 11:29:31.383666740,1,-13.23
